domain	num_links
web.archive.org	4409988
tools.wmflabs.org	2117541
www.google.com	1739028
doi.org	1375265
www.ncbi.nlm.nih.gov	1353468
www.worldcat.org	1077659
books.google.com	1242922
scholar.google.com	431363
www.wikidata.org	811662
www.jstor.org	543303
ssd.jpl.nasa.gov	592736
minorplanetcenter.net	556769
viaf.org	537109
id.loc.gov	441871
www.imdb.com	415740
isni.org	415583
www.gbif.org	351848
www.nytimes.com	333266
www.youtube.com	324709
eol.org	304747
www.webcitation.org	302193
amigo.geneontology.org	297444
d-nb.info	294587
www.bbc.co.uk	283508
www.irmng.org	263232
archive.org	256971
news.bbc.co.uk	236709
www.billboard.com	235510
edwardbetts.com	115846
commons.wikimedia.org	123136
archive.is	217159
data.bnf.fr	216635
npgallery.nps.gov	216088
catalogue.bnf.fr	215852
www.allmusic.com	209599
www.theguardian.com	206346
www.idref.fr	205223
www.inaturalist.org	198644
adsabs.harvard.edu	191883
news.google.com	151176
geonames.usgs.gov	146796
www.itis.gov	146805
musicbrainz.org	136474
www.baseball-reference.com	136574
arxiv.org	70223
int.soccerway.com	129658
socialarchive.iath.virginia.edu	125163
www.sports-reference.com	123120
www.census.gov	116222
aleph.nkp.cz	115170
nla.gov.au	112795
translate.google.com	111555
www.nhm.ac.uk	110775
www.espncricinfo.com	109669
meshb.nlm.nih.gov	52065
www.thegazette.co.uk	96106
www.telegraph.co.uk	94912
www.newspapers.com	92452
twitter.com	90819
www.washingtonpost.com	90809
www.marinespecies.org	87992
www.discogs.com	85757
www.facebook.com	84796
cricketarchive.com	84309
www.uefa.com	83232
www.amazon.com	74026
catalogo.bne.es	73997
tvbythenumbers.zap2it.com	72329
www.ipni.org	72080
itunes.apple.com	70674
www.independent.co.uk	70663
www.ebi.ac.uk	61956
nrhp.focus.nps.gov	69212
www.nba.com	68062
www.insee.fr	67129
www.tropicos.org	65599
www.amar.org.ir	64615
HistoricEngland.org.uk	62566
factfinder2.census.gov	61962
www.officialcharts.com	60067
www.legislation.gov.uk	59683
en.wikisource.org	58229
articles.latimes.com	56484
www.soccerbase.com	56203
geonames.nga.mil	55733
www.nfl.com	55551
authority.bibsys.no	55450
timesofindia.indiatimes.com	53871
portal.historicenvironment.scot	53795
www.rcsb.org	53611
deepl.com	53572
apiv3.iucnredlist.org	52735
www.stat.gov.pl	52258
www.animenewsnetwork.com	51613
www.plantsoftheworldonline.org	49908
www.theplantlist.org	49905
www.bbc.com	49818
www.reuters.com	49525
www.findagrave.com	49400
id.ndl.go.jp	49292
books.google.co.uk	48866
www.nhl.com	48534
www.thehindu.com	48171
www.abc.net.au	47989
variety.com	47742
www.hollywoodreporter.com	47269
www.ams.org	26088
www.cbc.ca	45648
www.iucnredlist.org	45615
espn.go.com	44034
www.allmovie.com	44016
www.metacritic.com	43877
www.rsssf.com	43310
citeseerx.ist.psu.edu	22434
www.rottentomatoes.com	42857
www.pro-football-reference.com	41759
www.fifa.com	41525
bugguide.net	40944
www.biolib.cz	40894
www.getty.edu	40819
lccn.loc.gov	26253
www.iaaf.org	40461
www.usatoday.com	40370
www.huffingtonpost.com	39837
www.rollingstone.com	39586
libris.kb.se	38584
www.smh.com.au	38223
www.biodiversitylibrary.org	37042
www.forbes.com	36276
www.espn.com	35914
fossilworks.org	35650
www.racingpost.com	35356
npgsweb.ars-grin.gov	34945
historicengland.org.uk	34835
www.bloomberg.com	34808
www.dailymail.co.uk	34551
deadline.com	34155
hdl.handle.net	24881
www.fishbase.org	33461
www.cnn.com	33298
gd.eppo.int	33107
www.latimes.com	33097
www.mtv.com	32800
query.nytimes.com	32070
www.ultratop.be	32053
babel.hathitrust.org	31991
rkd.nl	31487
www.uniprot.org	31292
www.national-football-teams.com	31184
genome.ucsc.edu	29249
supreme.justia.com	30422
animaldiversity.org	30031
data.nbn.org.uk	29723
www.itftennis.com	29386
www.basketball-reference.com	29000
transition.fcc.gov	28690
www.wsj.com	28618
www.time.com	28550
www.npr.org	28466
timesmachine.nytimes.com	28074
www.nps.gov	27923
fauna-eu.org	27594
www.nzor.org.nz	27362
sports.espn.go.com	27113
www.boxofficemojo.com	26838
www.eu-nomen.eu	26801
bioguide.congress.gov	26679
www.ensembl.org	26592
www.oxforddnb.com	26428
pitchfork.com	26070
factfinder.census.gov	25640
www.hockeydb.com	25450
www2.census.gov	25435
plants.usda.gov	25408
archive.today	25197
www.ign.com	24696
www.kicker.de	24391
www.catalogueoflife.org	24139
pqasb.pqarchiver.com	23933
www.bizjournals.com	23796
www.britannica.com	23678
www.tv.com	23328
www.gamespot.com	23181
www.flightglobal.com	22988
May2017.archive.ensembl.org	22866
www.perseus.tufts.edu	22849
www.irishtimes.com	22725
www.highbeam.com	22694
www.british-history.ac.uk	22506
www.independent.ie	22467
www.digitalspy.co.uk	22381
trove.nla.gov.au	22188
australianfootball.com	22053
www.oricon.co.jp	21970
www.sfgate.com	21836
www.researchgate.net	21814
www.metrolyrics.com	21709
www.rte.ie	21496
www.commonchemistry.org	21401
eclipse.gsfc.nasa.gov	21266
www.ubio.org	21262
wcsp.science.kew.org	21085
www.showbuzzdaily.com	20926
id.biodiversity.org.au	20756
www.stuff.co.nz	20470
www.gutenberg.org	20368
paperspast.natlib.govt.nz	20352
www.ew.com	20295
www.mechon-mamre.org	20268
www.theage.com.au	20097
www.efloras.org	20072
www.nydailynews.com	20043
www.catholic-hierarchy.org	19802
www.fivb.org	19780
www.pbs.org	19551
www.culture.gouv.fr	19539
www.hls-dhs-dss.ch	19451
aviation-safety.net	19450
www.nzherald.co.nz	19405
www.mobygames.com	12339
gaonchart.co.kr	19169
www.nic.funet.fi	19076
mlb.mlb.com	18948
maps.google.com	18854
www.sciencedirect.com	18845
www.theglobeandmail.com	18848
uboat.net	18804
abcnews.go.com	18708
