is_proj_med	num_extlinks	num_pages
false	2	595603
false	1	524748
false	3	503730
false	4	457293
false	5	341570
false	6	301943
false	7	280155
false	8	246368
false	9	215947
false	10	188036
false	11	162879
false	12	141800
false	13	122490
false	14	106858
false	15	93430
false	16	81607
false	17	71462
false	18	62764
false	19	54711
false	20	48469
false	21	42592
false	22	37991
false	23	33658
false	24	29668
false	25	26764
false	26	24339
false	27	22088
false	28	20160
false	29	18178
false	30	16967
false	31	15491
false	32	14397
false	33	13330
false	34	12265
false	35	11347
false	36	10644
false	37	9794
false	38	9374
false	39	8784
false	40	8179
false	41	7821
false	42	7199
false	43	6782
false	44	6476
false	45	6016
false	46	5624
false	47	5319
false	48	5262
false	49	4840
false	50	4626
false	52	4433
false	51	4410
false	53	4259
false	54	4014
false	55	3677
false	56	3566
false	57	3426
false	59	3217
false	60	3066
false	58	3054
false	62	2727
false	61	2660
false	63	2645
false	64	2478
false	65	2444
false	66	2380
false	67	2315
false	68	2230
false	69	2106
false	70	2106
false	71	1996
false	72	1970
false	73	1877
false	75	1838
false	76	1759
false	74	1755
true	2	1659
false	77	1649
false	78	1628
true	1	1571
true	3	1544
false	79	1524
true	4	1515
false	81	1458
false	80	1445
false	82	1432
false	84	1378
false	83	1376
false	85	1337
false	86	1320
true	7	1301
true	6	1280
true	5	1275
true	8	1256
false	88	1224
true	9	1216
false	89	1198
false	87	1179
false	90	1151
false	93	1093
false	91	1086
true	10	1078
false	92	1078
false	94	1027
true	11	1016
false	96	1010
false	95	988
false	98	971
true	12	971
false	97	951
false	99	939
false	100	930
false	101	882
false	102	877
true	13	871
false	107	866
true	14	864
false	103	839
false	105	790
false	104	789
true	15	783
false	106	758
false	108	752
true	16	747
false	109	744
false	110	733
false	111	701
false	112	673
true	17	661
false	113	643
false	114	623
true	18	607
false	115	602
false	116	581
false	117	581
true	19	573
false	120	561
false	118	556
false	2001	521
false	121	519
false	119	518
false	125	502
false	124	494
true	21	487
true	20	486
false	127	486
false	123	485
false	122	480
false	132	466
false	128	462
false	130	459
false	126	454
true	22	440
false	129	427
false	133	424
false	131	422
true	23	409
false	134	406
false	135	386
true	24	384
false	136	380
false	138	379
false	137	371
false	140	366
false	141	341
false	143	340
false	144	339
true	26	338
false	139	328
false	145	327
false	142	323
false	147	319
false	149	319
true	25	313
false	151	310
false	152	305
true	28	303
false	154	303
false	148	298
false	150	296
false	153	285
true	29	282
false	146	281
false	155	279
true	30	276
true	27	274
false	159	254
false	165	253
false	160	251
true	31	242
false	162	236
false	156	236
true	32	235
false	158	235
false	163	234
false	157	227
false	161	226
true	34	226
false	166	225
false	170	223
false	168	223
false	164	220
false	172	217
false	174	214
false	167	212
false	171	212
false	177	209
true	36	203
true	37	202
false	169	200
false	173	198
true	33	196
false	176	195
false	183	183
false	180	178
false	182	176
true	40	175
true	38	174
false	179	170
false	175	166
false	184	166
true	35	165
false	198	164
true	39	164
false	194	161
false	181	160
false	197	160
false	195	160
false	178	158
false	185	156
false	186	155
false	193	153
false	189	149
false	188	147
true	43	145
false	192	145
false	196	145
false	190	143
false	187	143
false	205	142
false	191	141
false	204	138
false	208	137
true	41	134
false	201	133
true	42	132
false	202	131
false	199	130
true	45	128
true	46	127
true	44	126
true	48	126
false	200	122
false	212	119
false	210	119
false	211	119
true	47	118
false	231	116
false	207	116
false	218	115
false	209	112
false	203	110
false	213	110
true	49	104
true	54	104
false	232	103
false	206	101
true	53	100
false	216	99
false	215	98
false	219	98
false	225	97
false	229	94
true	59	94
false	226	93
false	214	92
false	230	92
true	50	91
false	255	91
false	239	91
false	222	91
false	223	90
true	52	90
false	220	89
false	233	89
false	217	88
false	228	88
false	227	88
true	57	88
true	63	87
true	51	87
true	56	86
false	221	85
false	237	84
true	55	84
false	244	84
false	241	83
false	235	83
false	238	81
false	249	81
false	248	81
false	242	80
false	252	79
true	61	78
false	224	78
false	251	76
false	246	76
false	236	75
false	234	74
false	243	73
false	240	73
false	262	72
true	60	72
false	245	71
false	257	71
false	258	70
false	254	68
true	58	68
true	65	68
false	247	66
true	64	66
false	273	66
false	459	66
false	256	61
false	271	61
true	62	61
true	74	61
false	267	61
true	67	59
false	290	58
false	270	58
false	266	57
true	68	57
true	69	56
false	264	56
true	70	55
false	277	55
false	279	55
false	253	55
false	268	55
false	272	55
false	259	53
false	263	53
true	73	52
false	283	52
false	261	52
true	66	52
false	265	52
false	281	51
false	286	50
false	296	50
true	77	50
false	250	49
false	297	49
false	260	49
false	274	49
false	295	48
false	285	47
false	282	47
false	301	46
false	288	46
false	293	46
false	278	46
false	298	46
true	75	46
true	71	45
false	316	45
true	89	44
false	289	44
true	79	44
true	76	44
false	292	44
true	80	44
true	72	43
false	299	43
true	83	43
false	275	42
false	287	41
true	90	41
false	269	40
false	291	40
false	276	39
false	304	39
true	78	39
false	306	39
false	326	38
false	313	38
false	312	38
true	92	37
false	321	37
false	303	37
false	294	37
true	85	37
false	309	37
true	95	37
false	336	36
false	343	36
true	81	36
false	305	36
true	94	36
true	86	36
true	106	36
false	318	36
false	300	36
false	280	35
true	84	35
false	323	35
true	93	35
true	82	34
false	314	34
false	317	34
true	96	34
false	284	34
false	311	33
false	333	33
true	87	33
false	344	33
false	359	32
true	100	32
false	329	32
true	99	32
true	97	32
false	324	32
false	315	31
false	319	31
true	91	31
false	307	31
false	360	31
false	302	31
false	338	31
false	325	31
false	330	30
false	310	30
false	350	30
true	105	29
false	352	29
false	331	29
true	98	29
false	366	28
false	335	28
false	308	28
false	380	28
true	88	27
false	346	27
false	320	27
false	337	27
false	356	27
true	101	27
false	348	27
false	367	26
false	364	26
false	327	26
false	392	26
true	119	26
false	349	26
false	368	26
false	385	25
false	347	25
false	332	25
true	103	25
true	104	25
false	341	25
true	113	25
true	108	25
true	124	24
false	358	24
false	328	24
false	340	24
false	342	24
false	357	24
false	351	24
false	353	23
false	369	23
false	334	23
true	102	23
true	122	22
false	363	22
false	370	22
true	123	22
false	354	22
true	110	22
false	361	21
true	111	21
true	114	21
false	322	21
false	365	20
true	130	20
true	115	20
false	372	20
true	109	20
false	389	20
false	355	20
true	125	20
false	339	20
false	406	19
false	376	19
false	377	19
false	396	19
true	118	19
true	138	19
true	127	19
false	411	19
true	116	19
false	378	19
true	128	18
false	401	18
false	373	18
true	142	18
false	409	18
true	146	18
false	402	18
false	381	18
true	141	18
true	131	17
false	395	17
true	121	17
false	420	17
false	405	17
false	391	17
false	375	17
false	386	17
false	345	17
false	528	17
false	429	17
false	390	16
false	400	16
true	112	16
false	465	16
true	177	16
false	428	16
false	382	16
true	135	16
false	478	15
true	107	15
false	362	15
false	435	15
true	136	15
true	150	15
false	443	15
false	417	15
false	438	15
true	134	15
false	403	15
false	388	15
false	371	15
false	399	14
false	374	14
false	398	14
true	117	14
false	418	14
true	148	14
false	423	14
false	394	14
false	415	14
true	144	14
false	484	14
false	431	13
false	441	13
true	129	13
true	132	13
true	165	13
false	422	13
false	410	13
false	442	13
false	384	13
true	152	13
false	419	13
true	157	13
false	426	13
true	133	13
false	407	12
false	383	12
false	447	12
true	149	12
false	466	12
false	563	12
false	414	12
false	515	12
false	412	12
true	143	12
false	461	12
false	467	12
true	161	12
false	408	12
false	421	12
false	448	12
true	180	12
false	379	12
false	437	12
true	193	12
false	469	12
false	499	12
true	174	12
false	387	12
false	472	12
false	482	12
true	200	11
false	489	11
true	166	11
true	169	11
false	433	11
false	427	11
false	450	11
true	151	11
false	430	11
false	449	11
false	393	11
false	458	11
true	159	11
true	120	11
false	462	11
false	483	11
true	173	11
false	432	11
true	154	11
false	457	11
false	436	11
false	397	11
true	164	11
false	451	11
false	455	11
false	452	11
false	492	11
false	486	10
false	520	10
false	463	10
false	517	10
false	404	10
true	137	10
false	453	10
false	446	10
true	153	10
false	494	10
true	171	10
false	470	10
false	416	10
false	547	10
false	471	10
true	190	10
false	533	10
false	413	10
false	522	10
true	140	10
true	126	10
true	176	10
false	456	10
false	570	10
false	502	10
true	145	10
false	583	10
true	210	10
true	198	10
false	424	9
false	434	9
true	156	9
true	183	9
false	541	9
false	481	9
false	577	9
false	514	9
false	567	9
true	155	9
true	147	9
true	162	9
false	530	9
false	495	9
false	549	9
false	496	9
true	195	9
false	576	9
true	185	8
false	508	8
true	240	8
false	505	8
false	487	8
false	444	8
true	170	8
false	425	8
true	158	8
false	507	8
false	475	8
false	490	8
false	460	8
true	199	8
false	543	8
false	485	8
false	647	8
false	480	8
false	500	8
false	536	8
false	497	8
false	593	8
true	187	8
false	464	8
true	160	8
false	558	8
false	474	8
true	163	8
true	215	7
true	139	7
false	557	7
false	523	7
false	592	7
false	535	7
true	172	7
true	189	7
true	227	7
true	202	7
false	531	7
false	612	7
false	695	7
true	225	7
true	192	7
false	493	7
false	488	7
false	509	7
false	468	7
false	454	7
false	594	7
false	546	7
false	608	7
false	652	7
false	513	7
true	218	7
false	439	7
false	511	7
true	167	7
false	512	6
false	510	6
false	693	6
false	586	6
true	273	6
true	244	6
true	209	6
false	584	6
false	527	6
false	534	6
false	590	6
true	186	6
false	501	6
false	588	6
false	619	6
false	445	6
false	560	6
true	197	6
true	181	6
false	650	6
true	191	6
false	498	6
true	175	6
false	503	6
false	440	6
false	476	6
false	479	6
false	651	6
false	607	6
false	609	5
false	676	5
false	663	5
false	678	5
false	724	5
true	168	5
false	540	5
false	746	5
true	182	5
false	491	5
false	631	5
false	662	5
false	658	5
false	587	5
true	178	5
true	230	5
true	216	5
true	293	5
true	232	5
true	201	5
false	641	5
true	213	5
false	598	5
false	568	5
true	263	5
false	637	5
false	723	5
false	569	5
false	537	5
true	257	5
true	221	5
false	518	5
false	506	5
false	545	5
false	562	5
false	529	5
true	184	5
true	179	5
true	277	5
false	696	5
false	521	5
false	604	5
false	473	5
false	582	5
true	298	5
true	222	5
true	228	5
false	566	5
true	203	5
true	247	5
false	564	4
true	226	4
false	654	4
false	616	4
false	524	4
true	309	4
false	702	4
false	552	4
false	758	4
false	673	4
false	727	4
false	628	4
false	685	4
false	542	4
false	550	4
false	669	4
false	579	4
false	751	4
false	516	4
false	526	4
true	249	4
true	243	4
false	620	4
false	551	4
true	237	4
false	572	4
false	548	4
false	765	4
false	874	4
false	643	4
true	368	4
false	719	4
true	353	4
true	258	4
true	385	4
false	525	4
false	747	4
true	317	4
false	617	4
false	648	4
true	208	4
false	599	4
false	544	4
false	585	4
false	602	4
true	194	4
false	670	4
false	605	4
false	596	4
false	672	4
false	632	4
true	248	4
true	290	4
false	683	4
false	477	4
false	769	4
false	606	4
false	554	4
false	642	4
false	553	3
false	726	3
false	839	3
false	840	3
false	589	3
false	603	3
true	312	3
true	476	3
true	211	3
true	251	3
true	250	3
true	229	3
false	753	3
false	788	3
false	665	3
true	270	3
true	283	3
false	626	3
false	846	3
false	699	3
false	700	3
true	286	3
true	323	3
true	292	3
true	310	3
false	850	3
false	559	3
false	861	3
false	731	3
false	774	3
false	967	3
false	624	3
false	657	3
true	329	3
true	413	3
false	623	3
false	644	3
false	711	3
false	595	3
false	634	3
false	704	3
true	205	3
true	207	3
false	538	3
false	737	3
false	910	3
false	762	3
false	811	3
true	433	3
true	318	3
true	236	3
false	578	3
false	671	3
false	816	3
true	255	3
false	627	3
false	895	3
false	740	3
true	214	3
true	235	3
false	882	3
false	556	3
false	635	3
false	580	3
false	613	3
false	519	3
true	231	3
false	581	3
false	659	3
false	555	3
true	212	3
true	281	3
true	275	3
true	449	3
false	730	3
false	675	3
false	808	3
true	274	3
true	282	3
false	668	3
false	783	3
false	805	3
false	682	3
true	241	3
true	404	3
true	204	3
false	597	3
false	878	3
false	688	3
false	539	3
false	717	3
false	764	3
false	574	3
false	705	3
true	319	3
true	267	3
true	233	3
false	853	3
false	591	3
false	674	3
false	809	3
false	2002	3
true	371	3
true	188	3
true	322	3
false	709	3
false	775	3
false	845	3
false	686	3
false	621	3
true	256	3
true	372	3
true	262	3
true	261	3
true	239	3
true	338	3
false	738	3
false	561	3
false	532	2
false	1053	2
false	565	2
true	512	2
false	679	2
true	367	2
true	259	2
true	311	2
true	377	2
false	778	2
false	611	2
true	339	2
false	633	2
false	614	2
false	770	2
false	903	2
false	715	2
false	1120	2
false	698	2
false	1092	2
false	922	2
true	285	2
true	422	2
false	677	2
false	622	2
false	901	2
false	826	2
false	732	2
false	777	2
true	354	2
true	394	2
true	266	2
true	524	2
true	618	2
true	480	2
true	219	2
false	697	2
false	803	2
false	1137	2
false	638	2
false	713	2
false	832	2
true	260	2
true	269	2
false	966	2
false	892	2
false	931	2
false	954	2
false	1422	2
false	821	2
false	750	2
false	921	2
false	864	2
false	707	2
true	196	2
false	694	2
true	296	2
false	684	2
false	706	2
false	814	2
false	756	2
false	748	2
true	381	2
true	223	2
true	335	2
true	340	2
true	254	2
false	692	2
false	988	2
false	708	2
false	681	2
false	1356	2
false	896	2
true	314	2
false	3228	2
false	734	2
false	1190	2
false	710	2
false	880	2
false	917	2
false	571	2
false	733	2
true	325	2
true	487	2
true	349	2
false	867	2
false	573	2
false	1101	2
false	575	2
false	780	2
false	1090	2
false	970	2
false	989	2
true	324	2
true	276	2
true	419	2
true	206	2
true	396	2
true	326	2
false	806	2
false	793	2
false	841	2
false	667	2
false	786	2
false	1005	2
false	1006	2
false	636	2
true	384	2
true	299	2
true	327	2
true	224	2
true	279	2
false	1634	2
false	666	2
false	767	2
false	1004	2
false	760	2
false	656	2
false	1192	2
true	301	2
true	272	2
false	1084	2
false	838	2
false	820	2
false	1015	2
false	745	2
false	899	2
false	664	2
false	718	2
true	393	2
false	859	2
false	687	2
false	752	2
true	271	2
true	295	2
false	790	2
false	934	2
false	610	2
false	824	2
false	640	2
false	968	2
false	958	2
true	300	2
true	331	2
true	220	2
true	268	2
false	825	2
false	653	2
false	1037	2
false	1377	2
false	848	2
true	395	2
true	382	2
true	265	2
false	1333	1
false	2052	1
false	1515	1
false	1026	1
false	781	1
false	883	1
false	1002	1
true	386	1
false	812	1
false	1135	1
false	799	1
false	3108	1
false	1207	1
true	759	1
true	584	1
true	620	1
true	529	1
false	1091	1
false	1189	1
false	1674	1
false	661	1
false	9169	1
false	928	1
false	975	1
false	639	1
false	1019	1
false	868	1
false	1351	1
false	798	1
false	1338	1
false	1187	1
false	716	1
false	2412	1
false	1049	1
true	378	1
false	1011	1
false	2086	1
false	952	1
false	1279	1
true	591	1
true	471	1
true	485	1
true	838	1
true	346	1
true	359	1
true	718	1
true	280	1
true	287	1
true	506	1
false	912	1
false	1331	1
false	1914	1
false	1985	1
false	1518	1
false	1793	1
false	1047	1
false	1012	1
false	721	1
false	725	1
false	851	1
false	924	1
false	1423	1
false	630	1
false	807	1
true	442	1
false	847	1
false	1219	1
false	3250	1
false	1649	1
true	284	1
true	347	1
true	949	1
