domain	num_links
web.archive.org	4424553
tools.wmflabs.org	2118860
www.google.com	1762000
doi.org	1199815
www.ncbi.nlm.nih.gov	1121887
www.worldcat.org	1061208
books.google.com	1224609
scholar.google.com	437071
www.wikidata.org	805309
www.jstor.org	548554
ssd.jpl.nasa.gov	592849
minorplanetcenter.net	556755
viaf.org	535721
id.loc.gov	450548
www.imdb.com	416785
isni.org	413584
www.gbif.org	351964
www.nytimes.com	331154
www.youtube.com	325537
eol.org	304712
www.webcitation.org	301764
d-nb.info	293397
amigo.geneontology.org	290718
www.bbc.co.uk	283129
www.irmng.org	263257
archive.org	257042
www.billboard.com	237284
news.bbc.co.uk	235275
commons.wikimedia.org	123131
edwardbetts.com	114037
archive.is	218421
npgallery.nps.gov	216502
data.bnf.fr	215946
catalogue.bnf.fr	215156
www.allmusic.com	209954
www.theguardian.com	205559
www.idref.fr	204060
www.inaturalist.org	198847
adsabs.harvard.edu	188778
news.google.com	150994
geonames.usgs.gov	147156
www.itis.gov	146853
musicbrainz.org	138354
www.baseball-reference.com	136809
arxiv.org	71206
int.soccerway.com	130522
socialarchive.iath.virginia.edu	124427
www.sports-reference.com	124188
www.census.gov	116003
aleph.nkp.cz	114576
nla.gov.au	113070
translate.google.com	110910
www.nhm.ac.uk	110670
www.espncricinfo.com	110554
www.thegazette.co.uk	96198
www.telegraph.co.uk	94402
meshb.nlm.nih.gov	50377
www.newspapers.com	94173
twitter.com	91658
www.washingtonpost.com	90072
www.marinespecies.org	88095
www.discogs.com	86209
www.facebook.com	84849
cricketarchive.com	84140
www.uefa.com	83643
www.amazon.com	73804
catalogo.bne.es	73844
tvbythenumbers.zap2it.com	72788
www.ipni.org	72100
itunes.apple.com	71091
www.independent.co.uk	70403
nrhp.focus.nps.gov	69313
www.nba.com	68398
www.ebi.ac.uk	59348
www.insee.fr	66782
www.tropicos.org	65705
www.amar.org.ir	64615
HistoricEngland.org.uk	63262
factfinder2.census.gov	61930
www.officialcharts.com	60519
www.legislation.gov.uk	59689
en.wikisource.org	58208
www.soccerbase.com	56199
articles.latimes.com	56049
geonames.nga.mil	55733
www.nfl.com	55428
authority.bibsys.no	55176
apiv3.iucnredlist.org	54888
timesofindia.indiatimes.com	54088
portal.historicenvironment.scot	54000
deepl.com	53732
www.stat.gov.pl	52254
www.animenewsnetwork.com	51984
www.rcsb.org	50660
www.plantsoftheworldonline.org	50020
www.theplantlist.org	49990
www.bbc.com	49955
books.google.co.uk	49259
www.reuters.com	49183
www.findagrave.com	49174
www.nhl.com	49018
www.thehindu.com	48279
id.ndl.go.jp	48232
variety.com	48191
www.abc.net.au	47795
www.hollywoodreporter.com	47567
www.ams.org	26126
www.cbc.ca	45413
www.metacritic.com	44207
www.allmovie.com	44213
espn.go.com	43991
www.rsssf.com	43626
www.iucnredlist.org	43499
www.rottentomatoes.com	43099
www.pro-football-reference.com	41877
www.fifa.com	41561
bugguide.net	40951
www.getty.edu	40900
www.biolib.cz	40885
www.iaaf.org	40527
lccn.loc.gov	25969
citeseerx.ist.psu.edu	21079
www.usatoday.com	40108
www.rollingstone.com	39793
www.huffingtonpost.com	39270
libris.kb.se	38403
www.smh.com.au	38190
www.biodiversitylibrary.org	37101
www.espn.com	36500
www.forbes.com	36152
fossilworks.org	35704
www.racingpost.com	35511
npgsweb.ars-grin.gov	34959
historicengland.org.uk	34879
deadline.com	34682
www.bloomberg.com	34673
www.dailymail.co.uk	34424
www.fishbase.org	33440
www.latimes.com	33296
gd.eppo.int	33029
www.cnn.com	32935
www.mtv.com	32805
hdl.handle.net	24406
www.ultratop.be	32222
babel.hathitrust.org	32045
query.nytimes.com	31724
rkd.nl	31568
www.national-football-teams.com	31336
www.uniprot.org	30935
supreme.justia.com	30413
animaldiversity.org	30076
genome.ucsc.edu	28631
data.nbn.org.uk	29722
www.itftennis.com	29634
www.basketball-reference.com	29123
transition.fcc.gov	28698
www.wsj.com	28271
www.time.com	28225
timesmachine.nytimes.com	28222
www.npr.org	28046
www.nps.gov	28040
fauna-eu.org	27584
www.nzor.org.nz	27273
sports.espn.go.com	27033
www.boxofficemojo.com	26950
www.eu-nomen.eu	26765
bioguide.congress.gov	26693
pitchfork.com	26240
www.ensembl.org	26033
factfinder.census.gov	25826
www.hockeydb.com	25446
www2.census.gov	25439
www.oxforddnb.com	25427
plants.usda.gov	25407
www.ign.com	24815
archive.today	24659
www.kicker.de	24432
www.catalogueoflife.org	24091
pqasb.pqarchiver.com	23816
www.britannica.com	23762
www.bizjournals.com	23564
www.tv.com	23353
www.gamespot.com	23238
www.flightglobal.com	23110
www.perseus.tufts.edu	22798
www.irishtimes.com	22727
trove.nla.gov.au	22646
www.british-history.ac.uk	22591
www.highbeam.com	22517
www.independent.ie	22504
May2017.archive.ensembl.org	22406
www.digitalspy.co.uk	22359
www.oricon.co.jp	22164
australianfootball.com	22093
www.sfgate.com	21752
www.metrolyrics.com	21711
www.rte.ie	21475
www.researchgate.net	21384
www.ubio.org	21290
eclipse.gsfc.nasa.gov	21268
www.showbuzzdaily.com	21262
wcsp.science.kew.org	21115
id.biodiversity.org.au	20869
www.mechon-mamre.org	20732
www.stuff.co.nz	20470
paperspast.natlib.govt.nz	20458
www.gutenberg.org	20386
www.ew.com	20268
www.efloras.org	20065
www.theage.com.au	20052
www.nydailynews.com	19950
www.catholic-hierarchy.org	19814
www.fivb.org	19789
www.commonchemistry.org	19673
www.culture.gouv.fr	19508
aviation-safety.net	19494
www.hls-dhs-dss.ch	19410
www.nzherald.co.nz	19404
www.mobygames.com	12356
gaonchart.co.kr	19321
www.pbs.org	19194
www.nic.funet.fi	19167
mlb.mlb.com	18931
uboat.net	18808
maps.google.com	18783
www.theglobeandmail.com	18717
abcnews.go.com	18355
radio-locator.com	18353
www.wwe.com	18323
www.flickr.com	18275
www.hindu.com	18160
articles.timesofindia.indiatimes.com	18097
www.cbsnews.com	18062
eci.nic.in	17957
www.riaa.com	17916
www.amazon.co.uk	17815
www.sciencedirect.com	17747
articles.chicagotribune.com	17741
www.thestar.com	17635
www.indexfungorum.org	17622
www.academia.edu	17612
www.nme.com	17467
www.myspace.com	17427
www.sealifebase.ca	17425
www.history.navy.mil	17344
www.americanradiohistory.com	17299
afltables.com	17250
nces.ed.gov	17071
www1.arbitron.com	17055
edition.cnn.com	16974
www.foxnews.com	16751
www.atpworldtour.com	16541
