is_proj_med	num_extlinks	num_pages
true	62	63
true	74	63
true	58	63
false	256	62
false	266	62
false	253	62
false	279	62
true	64	62
true	68	62
true	65	61
false	260	59
false	290	59
false	250	59
true	70	57
false	282	56
true	67	55
true	69	55
false	269	54
false	264	54
false	272	53
false	267	52
false	270	52
false	286	51
false	277	50
true	80	50
true	76	50
true	73	50
false	268	49
false	287	48
false	274	48
true	75	48
false	275	48
false	293	48
false	259	47
true	77	47
false	301	46
false	313	46
false	278	46
false	265	46
false	294	45
false	280	45
false	297	45
false	261	45
false	298	44
false	300	44
false	281	44
false	283	44
false	285	44
false	291	44
false	292	44
false	308	43
true	72	43
false	328	43
true	71	43
false	289	43
true	84	42
true	90	42
false	288	42
false	295	41
true	83	41
true	95	41
false	344	40
false	296	40
false	311	40
true	81	40
false	303	40
true	78	39
false	316	39
false	284	39
true	89	39
true	79	39
false	299	39
false	276	37
true	106	37
false	318	36
true	87	36
true	96	36
false	321	36
false	336	36
false	315	35
false	324	35
false	333	35
true	85	35
false	360	35
true	93	35
false	312	34
true	91	34
true	92	34
true	94	34
false	304	34
false	326	34
false	306	34
false	302	34
false	364	33
false	359	33
false	325	33
false	356	33
false	343	33
true	86	33
false	310	33
true	100	32
true	105	32
false	330	32
false	309	31
true	98	31
false	314	31
false	317	31
false	307	31
false	319	31
false	335	31
false	323	30
true	97	30
false	337	30
true	82	30
true	99	29
false	350	29
false	373	29
false	334	29
true	102	29
false	331	29
false	305	28
false	353	28
false	320	28
false	357	27
true	103	27
false	351	27
false	342	27
true	122	26
false	369	26
false	352	26
true	101	26
false	327	26
false	367	25
true	88	25
false	385	25
true	130	25
false	340	25
true	113	25
false	366	25
false	347	25
true	108	25
false	363	24
false	348	24
false	395	24
false	368	23
true	124	23
true	123	23
true	125	23
false	371	23
false	345	23
false	346	23
false	341	23
false	332	23
false	322	23
false	389	22
false	386	22
true	104	22
true	116	22
false	355	22
false	338	22
true	111	21
true	115	21
false	361	21
false	406	21
true	119	21
false	349	21
false	354	21
true	118	21
true	141	21
false	329	21
false	381	20
false	392	20
false	378	20
false	390	20
false	402	20
false	339	20
false	380	20
false	376	19
false	382	19
true	114	19
true	138	19
false	377	18
false	372	18
true	117	18
false	358	18
true	109	18
false	365	18
true	136	17
false	478	17
false	375	17
false	409	17
false	419	17
false	403	17
true	144	17
true	110	17
false	393	17
false	370	17
false	379	16
false	405	16
false	438	16
false	441	16
false	411	16
true	107	16
false	428	16
false	429	16
true	142	16
true	147	16
false	448	16
false	432	16
false	401	16
true	131	16
true	121	16
true	128	15
true	133	15
true	154	15
false	431	15
true	135	15
true	129	15
true	127	15
false	461	15
false	408	15
false	482	14
false	424	14
false	410	14
false	384	14
false	391	14
false	469	14
false	483	14
false	425	14
true	112	14
false	415	14
false	443	14
false	400	14
true	152	14
false	420	14
false	396	13
true	166	13
true	120	13
false	423	13
false	465	13
false	413	13
false	399	13
true	148	13
true	146	13
false	449	13
false	466	13
false	435	13
false	397	13
false	422	13
true	165	13
false	417	13
false	426	13
false	398	13
false	407	13
false	486	13
false	442	12
false	383	12
true	200	12
true	170	12
false	455	12
false	427	12
false	418	12
false	452	12
true	134	12
false	374	12
false	388	12
true	140	12
true	157	12
false	458	12
true	173	12
true	150	12
false	470	12
false	490	12
false	434	12
true	151	11
true	174	11
false	437	11
true	183	11
true	132	11
true	162	11
true	159	11
true	190	11
false	462	11
false	520	11
true	171	11
true	177	11
false	522	11
false	412	11
false	492	11
false	594	11
false	439	11
false	447	11
true	126	11
true	160	11
false	436	11
true	176	11
false	414	11
false	416	11
false	467	11
false	394	11
false	453	10
true	193	10
true	178	10
false	471	10
false	387	10
false	487	10
false	495	10
false	498	10
true	139	10
true	143	10
false	404	9
false	570	9
false	515	9
false	509	9
false	484	9
true	153	9
false	362	9
true	180	9
false	489	9
true	198	9
false	450	9
true	161	9
true	164	9
false	535	9
true	194	9
true	145	9
false	474	9
false	457	9
false	485	9
false	508	9
false	533	9
false	567	9
false	529	9
false	647	9
false	499	9
false	463	9
true	169	9
true	189	9
false	451	9
true	149	8
false	628	8
false	527	8
false	666	8
false	472	8
false	531	8
false	514	8
false	563	8
false	494	8
false	546	8
false	583	8
true	156	8
false	481	8
false	430	8
false	496	8
false	652	8
false	488	8
true	185	8
true	175	8
false	557	8
false	468	8
true	216	8
false	456	8
false	501	8
false	421	8
false	576	8
false	444	8
false	577	8
true	199	8
false	542	8
true	210	8
false	440	8
true	137	8
false	460	8
true	163	8
false	475	8
false	454	8
false	517	8
false	608	8
false	693	7
true	158	7
true	181	7
false	579	7
true	187	7
true	195	7
false	497	7
false	547	7
true	155	7
false	476	7
false	505	7
false	549	7
false	500	7
false	528	7
false	502	7
true	228	7
true	179	7
false	543	7
true	244	7
false	530	7
false	545	7
false	541	7
true	232	7
false	585	7
false	673	7
false	592	6
false	504	6
true	197	6
true	209	6
false	518	6
false	537	6
false	479	6
false	711	6
false	506	6
false	562	6
false	532	6
false	503	6
true	277	6
true	167	6
true	186	6
false	565	6
false	526	6
false	516	6
false	473	6
true	225	6
false	558	6
false	606	6
false	493	6
false	560	6
false	433	6
false	464	6
false	510	6
false	513	6
false	551	6
true	168	6
false	599	6
true	218	6
true	202	6
false	512	6
true	273	5
false	631	5
false	651	5
true	222	5
true	267	5
true	182	5
false	446	5
true	172	5
true	323	5
true	208	5
false	596	5
