tld	num_links
.org	369692
.gov	278376
.com	160426
.uk	25467
.edu	24942
.int	17827
.ca	7556
.net	6350
.au	6140
.fr	4955
.info	3622
.jp	3115
.eu	2920
.de	2588
.no	2461
.is	1415
.cz	1270
.nz	1233
.in	1027
.ch	1000
.se	909
.today	885
.ie	839
.nl	799
.us	794
.it	783
.es	723
.ru	675
.io	570
.br	563
.za	535
.cn	523
.mil	505
.be	343
.pl	335
.il	297
.pk	296
.sg	296
.tw	275
.dk	274
.fi	254
.my	233
.hk	231
.ar	225
.at	222
.ro	197
.co	177
.mx	164
.pt	164
.ug	162
.kr	157
.tv	157
.ph	154
.hr	144
.hu	144
.ua	130
.ir	129
.tr	117
.lv	114
.lk	86
.gr	79
.cl	77
.ae	74
.am	74
.rs	72
.si	70
.ke	68
.bg	60
.th	58
.sa	56
.ng	53
.cu	51
.vn	50
.jo	49
.mm	49
.scot	49
.cc	48
.np	47
.ee	46
.pe	46
.cat	44
.id	42
.mt	42
.sk	40
.bd	39
.mp	39
.az	38
.ve	38
.bt	37
.ws	37
.zm	36
.lt	32
.biz	31
.uy	31
.eg	28
.gh	28
.md	28
.sl	27
.tz	27
.me	25
.va	25
.wales	23
.lb	22
.bo	18
.cr	18
.nu	18
.om	18
.al	17
.kz	17
.ma	17
.tm	16
.ec	15
.pa	15
.uz	15
.asia	14
.ge	14
.li	14
.lu	14
.na	14
.news	14
.tt	14
.museum	13
.4	12
.mk	12
.ac	11
.lr	11
.qa	11
.rw	11
.tn	11
.bn	10
.et	10
.fm	10
.mn	10
.by	9
.bz	9
.cy	9
.gt	9
.ht	9
.kg	9
.ms	9
.ni	9
.pro	9
.vg	9
.af	8
.bw	8
.fo	8
.hn	8
.lc	8
.ly	8
.pg	8
.py	8
.fj	7
.kp	7
.mo	7
.mv	7
.zw	7
.132	6
.do	6
.gi	6
.jm	6
.kw	6
.pr	6
.tj	6
.ba	5
.dm	5
.gg	5
.im	5
.kh	5
.kn	5
.mw	5
.ps	5
.sd	5
.vu	5
www	5
.173	4
.26	4
.5	4
.51	4
.9	4
.ag	4
.ai	4
.bm	4
.bs	4
.codes	4
.cymru	4
.foundation	4
.guide	4
.html	4
.ml	4
.pdf	4
.press	4
.review	4
.sv	4
.to	4
	3
.102	3
.103	3
.65	3
.68	3
.CA	3
.academy	3
