tld	num_links
.com	22115870
.org	18666008
.gov	4388109
.uk	3094616
.net	1622054
.edu	1429699
.au	1100525
.fr	968301
.ca	642532
.de	511767
.info	482902
.jp	403041
.in	284031
.nz	261782
.it	251689
.us	247077
.is	242810
.ru	236507
.cz	233125
.nl	210709
.no	198453
.ch	192305
.es	191769
.ie	176325
.se	164505
.pl	159154
.mil	158940
.eu	156984
.br	112117
.be	103720
.cn	97049
.kr	93466
.za	93245
.ir	91126
.fi	91113
.int	88801
.dk	85734
.tv	77357
.ph	71838
.at	71563
.ro	71116
.mx	68761
.gr	66798
.il	62642
.pt	59867
.scot	58478
.hu	57289
.pk	57222
.my	56575
.ua	53294
.tr	53230
.ar	48115
.hr	45457
.lk	42422
.si	41388
.rs	40859
.sg	39205
.tw	38155
.hk	34889
.co	29715
.today	26010
.ee	25481
.lv	25161
.cl	23431
.id	22662
.sk	21685
.bg	20130
.biz	19872
.lt	17713
.th	17610
.io	16418
.az	16396
.cat	16313
.lu	15791
.am	14594
.ng	14209
.me	13969
.fm	13596
.pe	13164
.vn	13045
.ae	12743
.ug	12530
.ke	12526
.bd	11428
.ba	11355
.va	11221
.np	10827
.al	10035
.md	9053
.uy	8919
.kz	8773
.ge	8617
.by	8606
.ve	7478
.cc	7365
.cy	7358
.eg	7145
.mt	7144
.hockey	7048
.mk	7048
.nu	6498
.mu	6405
.basketball	6180
.gh	6039
.lb	5901
.ws	5699
.tz	4839
.wales	4784
.na	4716
.fo	4607
.qa	4576
.sa	4386
.asia	4228
.cu	4145
.zw	4007
.bo	3970
.ec	3966
.aero	3962
.cr	3872
.ao	3754
.hn	3739
.do	3675
.mv	3621
.et	3596
.ma	3573
.taipei	3568
.gl	3556
.py	3379
.su	3195
.li	3090
.bn	3085
.dz	3079
.bf	3040
.tt	2895
.mn	2890
.mo	2841
.to	2809
.bt	2722
.uz	2715
.ac	2702
.pa	2604
.im	2538
.fj	2456
.eus	2438
.bz	2356
.jo	2330
.pg	2295
.tn	2294
.gt	2250
.cv	2216
.ni	2167
.run	2157
.la	2115
.coop	2028
.kh	2006
.pro	1954
.mm	1928
.news	1903
.tj	1891
.bw	1876
.travel	1872
.af	1833
.gi	1826
.ps	1800
.tm	1781
.museum	1767
.rw	1765
.sport	1707
.kg	1683
.sy	1641
.222	1640
.jm	1518
.ml	1514
.name	1492
.bh	1466
.ms	1455
.zm	1431
	1412
.je	1397
.69	1370
.kw	1369
.pr	1362
.sv	1351
.gg	1340
.132	1334
.club	1291
.ly	1273
.bm	1240
.ad	1225
.om	1218
.87	1204
hemeroteca-paginas.mundodeportivo.com.	1195
.online	1182
.194	1138
.mc	1043
.bb	1039
http	986
.5	932
.aq	926
.tl	921
.sn	909
.tk	889
.iq	847
.vu	832
.gm	823
.rugby	818
.mobi	816
.international	813
.st	795
.sm	791
.ky	789
.nc	775
.88	770
.ai	756
.100	752
.guide	752
.pn	744
.142	743
.ag	733
.football	726
.city	704
.sc	688
.kp	677
.mg	673
.208	669
.media	667
.mz	662
.bs	640
.pf	639
.3	636
.sz	602
.65	594
.nyc	578
.cymru	577
.82	575
.cd	569
.nf	565
.space	561
.cm	557
.world	556
.blog	543
.cx	542
.ga	542
.sh	539
.dj	538
.sb	522
.gy	515
.35	512
.xn--p1ai	511
.london	497
.tc	497
.ls	495
.ck	490
.zone	488
.mw	478
.40	462
.ht	460
.xyz	449
.global	440
.gs	440
.sl	412
.press	411
.%D1%80%D1%84	400
.lr	396
.mr	388
.sd	388
.quebec	373
.fk	372
.ci	354
.dm	353
.gal	337
.art	336
.re	328
.141	325
.mp	325
.99	323
.krd	318
.ax	317
.link	311
.145	309
.as	307
.church	305
.kiwi	301
.vc	297
.20	291
.tokyo	289
.ki	288
.website	280
.wiki	279
.works	275
.google	274
.vg	271
.html	265
.2	262
.live	258
.171	256
.life	255
.245	253
.37	246
.94	246
.bj	241
.canon	237
.sr	237
.cern	233
.tg	233
.lc	228
.site	218
.tech	215
.one	213
.238	212
.38	212
.istanbul	212
.rocks	212
www	212
.gd	210
localhost	210
.so	203
.6	202
.68	202
.afl	196
.swiss	194
.104	191
.aw	189
.134	188
.Com	187
.182	186
.network	186
.reviews	186
.tips	181
.66	177
https	172
.190	168
.pdf	166
.26	163
.cw	163
.film	160
.brussels	159
.ink	153
www.britishlistedbuildings.co.uk.	151
.review	150
.10	147
.sx	146
.bi	145
.foundation	143
.192	140
.29	140
.30	140
.education	140
.231	138
www.	137
.kn	136
.nr	136
.56	135
.202	133
.it,	132
www.mapress.com.	132
.ne	131
.9	130
.academy	129
.14	128
.yu	127
.melbourne	126
.102	125
.81	125
.bzh	124
.ngo	119
.234	117
.4	115
.band	115
.50	113
.COM	111
.group	111
.11	109
.technology	109
.167	108
.berlin	108
.center	108
.135	107
.214	105
.school	105
.tools	105
.244	104
.51	104
.63	104
.18	102
.22	102
.games	102
.pw	102
.130	100
.149	100
.movie	100
.246	99
.33	99
.71	99
.ye	95
.amsterdam	94
.http	94
.160	91
.53	89
.116	88
.1	87
.112	87
.41	86
.13	85
.gallery	85
.vi	83
.12	82
.195	82
.36	82
.cloud	82
.company	80
.166	79
.cg	79
.UK	78
.45	77
.83	77
.pub	77
.108	76
.top	76
search-proquest-com	76
.138	75
.200	75
.corsica	75
.report	75
.vote	75
.178	74
.25	74
.254	74
.55	74
.70	74
.bio	74
.242	73
.61	73
.17	72
.21	72
.67	72
.an	72
.paris	72
.24	71
.46	71
.institute	70
.109	69
.233	69
.law	68
www.afhra.af.mil.	68
.28	67
.43	67
.74	67
.150	66
.91	66
.42	65
.CA	65
.digital	65
.96	64
.htm	64
.earth	63
.science	63
.181	62
.31	62
.gu	62
.140	61
.84	61
books.google.com.	61
.158	60
.audio	59
.energy	59
.mh	59
.129	58
.155	58
.34	58
.7	58
.23	57
.47	57
.Net	57
.design	57
.ninja	57
.110	56
.209	56
.98	56
.cf	56
hemeroteca-paginas.elmundodeportivo.es.	56
.180	55
.com,	55
.230	54
.78	54
.directory	54
.gop	54
.post	54
.144	53
.199	53
.FM	53
.121	52
.226	52
.235	52
.117	51
.131	51
.162	51
.60	51
.Org	51
.101	50
.107	50
.TV	50
.115	49
.174	49
.219	49
.africa	49
.15	48
.19	48
.211	48
.72	48
.app	48
