domain	num_links
www.ncbi.nlm.nih.gov	238419
doi.org	183761
web.archive.org	50449
www.worldcat.org	25433
books.google.com	22653
www.google.com	11022
apps.who.int	12534
www.icd9data.com	8691
www.wikidata.org	8069
amigo.geneontology.org	6908
www.nlm.nih.gov	6224
www.jstor.org	4300
scholar.google.com	2849
www.cdc.gov	5058
www.omim.org	4409
adsabs.harvard.edu	4255
www.nytimes.com	4110
www.who.int	4021
www.emedicine.com	3410
www.diseasesdatabase.com	3105
id.loc.gov	3008
www.rcsb.org	2992
viaf.org	2865
meshb.nlm.nih.gov	1689
www.ebi.ac.uk	2730
citeseerx.ist.psu.edu	1380
omim.org	2485
isni.org	2538
edwardbetts.com	1253
tools.wmflabs.org	1303
www.fda.gov	2340
www.theguardian.com	2124
d-nb.info	2101
pubchem.ncbi.nlm.nih.gov	1968
www.drugs.com	1938
emedicine.medscape.com	1818
linkinghub.elsevier.com	1792
www.commonchemistry.org	1760
archive.org	1671
www.chemspider.com	1564
news.bbc.co.uk	1561
chemapps.stolaf.edu	1539
www.bbc.co.uk	1530
www.whocc.no	1496
www.idref.fr	1457
archive.is	1382
www.orpha.net	1339
books.google.ca	1321
fdasis.nlm.nih.gov	1267
www.washingtonpost.com	1265
progenetix.org	1248
www.sciencedirect.com	1231
www.youtube.com	1228
www.webcitation.org	1226
www.accessdata.fda.gov	1206
hdl.handle.net	627
www.nature.com	1131
id.ndl.go.jp	1124
echa.europa.eu	1095
aleph.nkp.cz	1079
www.cancer.gov	1054
medlineplus.gov	1049
mathscinet.ams.org	1022
data.bnf.fr	1001
catalogue.bnf.fr	998
www.kegg.jp	983
www.whonamedit.com	961
archive.today	881
www.drugbank.ca	874
www.telegraph.co.uk	852
www.medscape.com	798
www.reuters.com	795
www.researchgate.net	779
ghr.nlm.nih.gov	777
patient.info	770
socialarchive.iath.virginia.edu	744
www.webmd.com	691
www.bmj.com	679
icd9cm.chrisendres.com	663
journals.lww.com	660
rarediseases.info.nih.gov	612
www.cnn.com	621
www.npr.org	616
en.wikisource.org	615
www.independent.co.uk	595
www.guidetopharmacology.org	585
www.aafp.org	576
www.nhs.uk	565
genome.ucsc.edu	477
www.bbc.com	526
www.cbc.ca	525
authority.bibsys.no	524
www.newspapers.com	522
marcinwrochna.github.io	514
miar.ub.edu	513
personal.psu.edu	513
lib.law.washington.edu	512
www.issn.org	512
www.mayoclinic.org	509
lccn.loc.gov	360
nla.gov.au	492
www.uniprot.org	490
meta.wkhealth.com	489
onlinelibrary.wiley.com	487
www.huffingtonpost.com	486
www.ema.europa.eu	483
www.wsj.com	477
news.google.com	473
www.epa.gov	471
www.hsj.co.uk	471
books.google.co.uk	463
www.cancer.org	452
www.abc.net.au	443
www.mayoclinic.com	441
medical-dictionary.thefreedictionary.com	436
clinicaltrials.gov	432
pediatrics.aappublications.org	430
curlie.org	429
www.thelancet.com	425
www.usatoday.com	425
abcnews.go.com	415
www.amazon.com	350
www.pbs.org	411
www.forbes.com	408
www.nhlbi.nih.gov	404
articles.latimes.com	397
www.ninds.nih.gov	390
www.nice.org.uk	386
archive.rubicon-foundation.org	381
www.bloomberg.com	380
www.sciencedaily.com	380
www.cbsnews.com	371
www.genenames.org	367
www.ensembl.org	360
www.merriam-webster.com	352
www.uptodate.com	351
www.merckmanuals.com	350
adisinsight.springer.com	332
circ.ahajournals.org	330
query.nytimes.com	325
May2017.archive.ensembl.org	324
www.bizjournals.com	323
www.thegazette.co.uk	323
arxiv.org	165
catalogo.bne.es	321
www.gov.uk	316
mshpriceguide.org	309
www.time.com	308
dx.doi.org	303
www3.interscience.wiley.com	302
clincalc.com	295
www.newscientist.com	294
www.nap.edu	292
dailymed.nlm.nih.gov	290
www.latimes.com	287
www.unifr.ch	279
www.histmodbiomed.org	281
www.nobelprize.org	272
www.medicinenet.com	267
www.springerlink.com	271
www.sciencemag.org	268
www.medicalnewstoday.com	266
libris.kb.se	264
academic.oup.com	263
eol.org	261
www.smh.com.au	258
www.britannica.com	256
