domain	num_links
web.archive.org	4475002
tools.wmflabs.org	2120163
www.google.com	1773022
doi.org	1383576
www.ncbi.nlm.nih.gov	1360306
www.worldcat.org	1086641
books.google.com	1247262
scholar.google.com	439920
www.wikidata.org	813378
www.jstor.org	552854
ssd.jpl.nasa.gov	592851
minorplanetcenter.net	556755
viaf.org	538586
id.loc.gov	453556
www.imdb.com	417014
isni.org	416122
www.gbif.org	352160
www.nytimes.com	335264
www.youtube.com	326765
eol.org	304973
www.webcitation.org	302990
amigo.geneontology.org	297626
d-nb.info	295498
www.bbc.co.uk	284659
www.irmng.org	263488
archive.org	258713
www.billboard.com	237299
news.bbc.co.uk	236836
commons.wikimedia.org	123161
edwardbetts.com	115290
archive.is	219803
data.bnf.fr	216947
npgallery.nps.gov	216521
catalogue.bnf.fr	216154
www.allmusic.com	209966
www.theguardian.com	207683
www.idref.fr	205517
www.inaturalist.org	198961
adsabs.harvard.edu	193033
news.google.com	151467
geonames.usgs.gov	147160
www.itis.gov	147003
musicbrainz.org	138382
www.baseball-reference.com	136812
arxiv.org	71371
int.soccerway.com	130523
socialarchive.iath.virginia.edu	125171
www.sports-reference.com	124200
www.census.gov	116062
aleph.nkp.cz	115655
nla.gov.au	113562
translate.google.com	111127
www.nhm.ac.uk	110679
www.espncricinfo.com	110564
meshb.nlm.nih.gov	52066
www.thegazette.co.uk	96521
www.telegraph.co.uk	95254
www.newspapers.com	94695
twitter.com	91782
www.washingtonpost.com	91337
www.marinespecies.org	88151
www.discogs.com	86210
www.facebook.com	85018
cricketarchive.com	84179
www.uefa.com	83644
www.amazon.com	74154
catalogo.bne.es	74165
tvbythenumbers.zap2it.com	72788
www.ipni.org	72203
itunes.apple.com	71124
www.independent.co.uk	70998
www.ebi.ac.uk	62078
nrhp.focus.nps.gov	69326
www.nba.com	68408
www.insee.fr	66782
www.tropicos.org	65726
www.amar.org.ir	64615
HistoricEngland.org.uk	63281
factfinder2.census.gov	61930
www.officialcharts.com	60519
www.legislation.gov.uk	59842
en.wikisource.org	58823
articles.latimes.com	56446
www.soccerbase.com	56199
geonames.nga.mil	55733
authority.bibsys.no	55700
www.nfl.com	55443
apiv3.iucnredlist.org	54894
timesofindia.indiatimes.com	54269
portal.historicenvironment.scot	54002
deepl.com	53817
www.rcsb.org	53652
www.stat.gov.pl	52254
www.animenewsnetwork.com	51984
www.bbc.com	50481
www.plantsoftheworldonline.org	50039
www.theplantlist.org	50007
www.reuters.com	49978
books.google.co.uk	49722
id.ndl.go.jp	49356
www.findagrave.com	49336
www.nhl.com	49024
www.thehindu.com	48447
www.abc.net.au	48238
variety.com	48230
www.hollywoodreporter.com	47601
www.ams.org	26131
www.cbc.ca	45938
www.allmovie.com	44227
www.metacritic.com	44212
espn.go.com	44048
www.rsssf.com	43628
www.iucnredlist.org	43504
www.rottentomatoes.com	43107
citeseerx.ist.psu.edu	22459
www.pro-football-reference.com	41879
www.fifa.com	41565
bugguide.net	40957
www.getty.edu	40937
www.biolib.cz	40919
lccn.loc.gov	26329
www.iaaf.org	40770
www.usatoday.com	40533
www.rollingstone.com	39845
www.huffingtonpost.com	39756
libris.kb.se	38667
www.smh.com.au	38448
www.biodiversitylibrary.org	37134
www.forbes.com	36560
www.espn.com	36542
fossilworks.org	35714
www.racingpost.com	35512
www.bloomberg.com	35053
npgsweb.ars-grin.gov	34981
historicengland.org.uk	34880
deadline.com	34691
www.dailymail.co.uk	34469
hdl.handle.net	25033
www.latimes.com	33583
www.cnn.com	33556
www.fishbase.org	33443
gd.eppo.int	33135
www.mtv.com	32832
babel.hathitrust.org	32226
www.ultratop.be	32224
query.nytimes.com	32049
rkd.nl	31594
www.uniprot.org	31425
www.national-football-teams.com	31337
supreme.justia.com	30433
genome.ucsc.edu	29108
animaldiversity.org	30099
data.nbn.org.uk	29761
www.itftennis.com	29634
www.basketball-reference.com	29123
www.wsj.com	28748
transition.fcc.gov	28704
www.npr.org	28662
www.time.com	28533
timesmachine.nytimes.com	28354
www.nps.gov	28059
fauna-eu.org	27632
www.nzor.org.nz	27395
sports.espn.go.com	27096
www.boxofficemojo.com	26953
www.eu-nomen.eu	26811
bioguide.congress.gov	26707
www.ensembl.org	26393
pitchfork.com	26242
factfinder.census.gov	25836
www.oxforddnb.com	25668
archive.today	25540
www.hockeydb.com	25448
www2.census.gov	25440
plants.usda.gov	25426
www.ign.com	24817
www.kicker.de	24432
www.catalogueoflife.org	24091
www.britannica.com	24018
pqasb.pqarchiver.com	23923
www.bizjournals.com	23887
www.tv.com	23369
www.gamespot.com	23240
www.flightglobal.com	23116
www.perseus.tufts.edu	22977
www.irishtimes.com	22908
trove.nla.gov.au	22734
May2017.archive.ensembl.org	22730
www.highbeam.com	22709
www.british-history.ac.uk	22622
www.independent.ie	22596
www.digitalspy.co.uk	22365
www.researchgate.net	22163
www.oricon.co.jp	22164
australianfootball.com	22094
www.sfgate.com	21911
www.metrolyrics.com	21711
www.rte.ie	21551
www.commonchemistry.org	21433
www.ubio.org	21311
eclipse.gsfc.nasa.gov	21268
www.showbuzzdaily.com	21262
wcsp.science.kew.org	21122
id.biodiversity.org.au	20877
www.mechon-mamre.org	20735
www.stuff.co.nz	20569
www.gutenberg.org	20525
paperspast.natlib.govt.nz	20480
www.ew.com	20280
www.theage.com.au	20138
www.nydailynews.com	20086
www.efloras.org	20091
www.catholic-hierarchy.org	19814
www.fivb.org	19789
www.pbs.org	19605
www.culture.gouv.fr	19559
aviation-safety.net	19503
www.nzherald.co.nz	19500
www.hls-dhs-dss.ch	19479
www.mobygames.com	12356
gaonchart.co.kr	19321
www.nic.funet.fi	19167
www.sciencedirect.com	18978
mlb.mlb.com	18947
www.theglobeandmail.com	18911
uboat.net	18808
maps.google.com	18789
abcnews.go.com	18770
www.cbsnews.com	18433
radio-locator.com	18353
www.wwe.com	18329
www.flickr.com	18312
pubchem.ncbi.nlm.nih.gov	18197
www.hindu.com	18213
articles.timesofindia.indiatimes.com	18198
eci.nic.in	17959
www.amazon.co.uk	17856
www.riaa.com	17916
articles.chicagotribune.com	17859
www.thestar.com	17828
www.academia.edu	17769
www.indexfungorum.org	17641
www.nme.com	17473
chemapps.stolaf.edu	17436
www.myspace.com	17430
www.sealifebase.ca	17430
www.history.navy.mil	17349
www.americanradiohistory.com	17299
afltables.com	17251
edition.cnn.com	17182
books.google.ca	17125
nces.ed.gov	17091
www1.arbitron.com	17055
www.foxnews.com	16984
mathscinet.ams.org	16912
www.atpworldtour.com	16541
www.ft.com	16231
www.chemspider.com	16068
www.goal.com	16044
www.historicplaces.ca	16027
www.boston.com	15974
dutchcharts.nl	15974
www.britishnewspaperarchive.co.uk	15909
www.haaretz.com	15891
search.proquest.com	15858
www.ibdb.com	15851
www.law.cornell.edu	15843
www.bfs.admin.ch	15552
openlibrary.org	11233
iucnredlist.org	15526
www.hindustantimes.com	15453
www.wsc.nmbe.ch	15389
mmajunkie.com	15383
www.sarugby.co.za	15264
rugby.statbunker.com	15258
www.c-span.org	15232
