domain	num_links
.nih.gov	253458
.cdc.gov	5620
.fda.gov	3568
.loc.gov	3476
.cancer.gov	1272
medlineplus.gov	1044
.epa.gov	613
.hhs.gov	440
clinicaltrials.gov	425
.ahrq.gov	354
.usda.gov	293
.gpo.gov	263
.congress.gov	230
.ca.gov	227
.cms.gov	202
.medicaid.gov	200
.va.gov	193
.archives.gov	189
.nasa.gov	188
.clinicaltrials.gov	175
.drugabuse.gov	158
.itis.gov	155
.uspto.gov	153
.house.gov	149
.usdoj.gov	124
.sec.gov	123
.hrsa.gov	121
.whitehouse.gov	121
.cia.gov	120
.osha.gov	115
.cbo.gov	108
.samhsa.gov	101
.federalregister.gov	99
.senate.gov	99
.genome.gov	93
.justice.gov	93
.bls.gov	91
.wa.gov	86
.womenshealth.gov	82
.ed.gov	77
.ncjrs.gov	77
.ny.gov	76
.surgeongeneral.gov	75
.census.gov	73
.gao.gov	72
.irs.gov	70
.usaid.gov	70
.healthcare.gov	66
.fema.gov	58
.nps.gov	58
.usgs.gov	55
.uscourts.gov	54
.oregon.gov	52
.ftc.gov	51
.nist.gov	51
.dc.gov	48
.dot.gov	48
.fbi.gov	47
.healthit.gov	47
.ihs.gov	47
.nyc.gov	47
.guideline.gov	46
.nsf.gov	46
.state.gov	46
cdc.gov	46
.faa.gov	44
.medicare.gov	40
.ssa.gov	39
.ornl.gov	37
.noaa.gov	36
.mo.gov	35
.healthypeople.gov	33
.osti.gov	33
.virginia.gov	32
.mass.gov	31
.michigan.gov	31
.fcc.gov	30
.nrc.gov	30
.ars-grin.gov	29
health.gov	28
.supremecourt.gov	27
.dea.gov	26
.health.gov	24
.ct.gov	23
.maryland.gov	23
.pepfar.gov	23
.utah.gov	23
.lacounty.gov	22
.ems.gov	21
.fdlp.gov	21
.in.gov	21
.wisconsin.gov	21
.ky.gov	20
.ohio.gov	20
.kingcounty.gov	18
.lbl.gov	18
.ntsb.gov	18
.regulations.gov	18
.aids.gov	17
.bjs.gov	17
.bnl.gov	17
.dol.gov	17
.eeoc.gov	17
.govinfo.gov	17
.energy.gov	16
.nhtsa.gov	16
.usembassy.gov	16
.maine.gov	15
.pandemicflu.gov	15
.ri.gov	15
.azdhs.gov	14
.scdhec.gov	14
.childwelfare.gov	13
.hiv.gov	13
locatorplus.gov	13
.anl.gov	12
.delaware.gov	12
.lanl.gov	12
.medpac.gov	12
.sandiego.gov	12
.treasury.gov	12
.vermont.gov	12
.nysed.gov	11
.usphs.gov	11
.choosemyplate.gov	10
.doe.gov	10
.flu.gov	10
.illinois.gov	10
.mi.gov	10
.wi.gov	10
ClinicalTrials.gov	10
healthfinder.gov	10
healthypeople.gov	10
.alaska.gov	9
.colorado.gov	9
.defense.gov	9
