domain	num_links
web.archive.org	4359876
tools.wmflabs.org	2116110
www.google.com	1728190
doi.org	1192543
www.ncbi.nlm.nih.gov	1116903
www.worldcat.org	1052498
books.google.com	1220342
scholar.google.com	428563
www.wikidata.org	803587
www.jstor.org	539065
ssd.jpl.nasa.gov	592734
minorplanetcenter.net	556769
viaf.org	534255
id.loc.gov	439039
www.imdb.com	415511
isni.org	413050
www.gbif.org	351647
www.nytimes.com	329171
www.youtube.com	323484
eol.org	304480
www.webcitation.org	300965
d-nb.info	292495
amigo.geneontology.org	290536
www.bbc.co.uk	281984
www.irmng.org	262996
archive.org	255316
www.billboard.com	235495
news.bbc.co.uk	235154
commons.wikimedia.org	123107
edwardbetts.com	114583
npgallery.nps.gov	216069
archive.is	215794
data.bnf.fr	215636
catalogue.bnf.fr	214856
www.allmusic.com	209587
www.theguardian.com	204235
www.idref.fr	203772
www.inaturalist.org	198529
adsabs.harvard.edu	187704
news.google.com	150704
geonames.usgs.gov	146792
www.itis.gov	146650
musicbrainz.org	136450
www.baseball-reference.com	136571
arxiv.org	70076
int.soccerway.com	129657
socialarchive.iath.virginia.edu	124419
www.sports-reference.com	123108
www.census.gov	116163
aleph.nkp.cz	114097
nla.gov.au	112304
translate.google.com	111338
www.nhm.ac.uk	110766
www.espncricinfo.com	109659
www.thegazette.co.uk	95784
meshb.nlm.nih.gov	50377
www.telegraph.co.uk	94068
www.newspapers.com	91933
twitter.com	90695
www.washingtonpost.com	89544
www.marinespecies.org	87935
www.discogs.com	85756
www.facebook.com	84625
cricketarchive.com	84269
www.uefa.com	83231
www.amazon.com	73677
catalogo.bne.es	73678
tvbythenumbers.zap2it.com	72329
www.ipni.org	71976
itunes.apple.com	70641
www.independent.co.uk	70072
nrhp.focus.nps.gov	69199
www.nba.com	68052
www.ebi.ac.uk	59229
www.insee.fr	67129
www.tropicos.org	65578
www.amar.org.ir	64615
HistoricEngland.org.uk	62547
factfinder2.census.gov	61962
www.officialcharts.com	60067
www.legislation.gov.uk	59531
en.wikisource.org	57636
www.soccerbase.com	56203
articles.latimes.com	56087
geonames.nga.mil	55733
www.nfl.com	55536
authority.bibsys.no	54928
portal.historicenvironment.scot	53793
timesofindia.indiatimes.com	53690
deepl.com	53489
apiv3.iucnredlist.org	52729
www.stat.gov.pl	52258
www.animenewsnetwork.com	51613
www.rcsb.org	50620
www.plantsoftheworldonline.org	49889
www.theplantlist.org	49888
www.bbc.com	49301
www.findagrave.com	49239
www.reuters.com	48734
www.nhl.com	48528
books.google.co.uk	48414
id.ndl.go.jp	48170
www.thehindu.com	48002
variety.com	47704
www.abc.net.au	47548
www.hollywoodreporter.com	47235
www.ams.org	26083
www.iucnredlist.org	45610
www.cbc.ca	45128
www.allmovie.com	44002
espn.go.com	43977
www.metacritic.com	43872
www.rsssf.com	43308
www.rottentomatoes.com	42849
www.pro-football-reference.com	41757
www.fifa.com	41521
bugguide.net	40938
www.biolib.cz	40859
www.getty.edu	40782
lccn.loc.gov	25893
www.iaaf.org	40219
citeseerx.ist.psu.edu	21063
www.usatoday.com	39943
www.rollingstone.com	39534
www.huffingtonpost.com	39351
libris.kb.se	38325
www.smh.com.au	37965
www.biodiversitylibrary.org	37009
www.espn.com	35872
www.forbes.com	35871
fossilworks.org	35639
www.racingpost.com	35355
npgsweb.ars-grin.gov	34923
historicengland.org.uk	34834
www.dailymail.co.uk	34506
www.bloomberg.com	34432
deadline.com	34146
www.fishbase.org	33458
gd.eppo.int	33001
www.latimes.com	32811
www.mtv.com	32774
www.cnn.com	32682
hdl.handle.net	24258
www.ultratop.be	32051
babel.hathitrust.org	31813
query.nytimes.com	31745
rkd.nl	31461
www.national-football-teams.com	31183
www.uniprot.org	30804
supreme.justia.com	30402
genome.ucsc.edu	28771
animaldiversity.org	30008
data.nbn.org.uk	29684
www.itftennis.com	29386
www.basketball-reference.com	29000
transition.fcc.gov	28684
www.time.com	28241
www.wsj.com	28144
timesmachine.nytimes.com	27944
www.nps.gov	27904
www.npr.org	27856
fauna-eu.org	27546
www.nzor.org.nz	27240
sports.espn.go.com	27050
www.boxofficemojo.com	26835
www.eu-nomen.eu	26755
bioguide.congress.gov	26665
www.ensembl.org	26231
www.oxforddnb.com	26174
pitchfork.com	26068
factfinder.census.gov	25630
www.hockeydb.com	25448
www2.census.gov	25434
plants.usda.gov	25389
www.ign.com	24694
www.kicker.de	24391
archive.today	24312
www.catalogueoflife.org	24139
pqasb.pqarchiver.com	23826
www.bizjournals.com	23473
www.britannica.com	23423
www.tv.com	23312
www.gamespot.com	23179
www.flightglobal.com	22983
www.perseus.tufts.edu	22670
www.irishtimes.com	22545
May2017.archive.ensembl.org	22541
www.highbeam.com	22501
www.british-history.ac.uk	22475
www.independent.ie	22376
www.digitalspy.co.uk	22375
trove.nla.gov.au	22101
australianfootball.com	22052
www.oricon.co.jp	21970
www.metrolyrics.com	21709
www.sfgate.com	21678
www.rte.ie	21420
eclipse.gsfc.nasa.gov	21266
www.ubio.org	21240
wcsp.science.kew.org	21078
www.researchgate.net	21041
www.showbuzzdaily.com	20926
id.biodiversity.org.au	20748
www.stuff.co.nz	20371
paperspast.natlib.govt.nz	20335
www.ew.com	20283
www.mechon-mamre.org	20265
www.gutenberg.org	20229
www.efloras.org	20046
www.theage.com.au	20012
www.nydailynews.com	19907
www.catholic-hierarchy.org	19802
www.fivb.org	19780
www.commonchemistry.org	19643
www.culture.gouv.fr	19488
aviation-safety.net	19441
www.hls-dhs-dss.ch	19382
www.mobygames.com	12339
www.nzherald.co.nz	19309
gaonchart.co.kr	19169
www.pbs.org	19141
www.nic.funet.fi	19076
mlb.mlb.com	18932
maps.google.com	18848
uboat.net	18804
www.theglobeandmail.com	18655
radio-locator.com	18344
abcnews.go.com	18293
www.flickr.com	18265
